stationid,startTime,inNums,outNums
1,2022/7/15 5:00,0,1
1,2022/7/15 5:10,2,1
1,2022/7/15 5:20,9,1
1,2022/7/15 5:30,15,1
1,2022/7/15 5:40,20,1
1,2022/7/15 5:50,17,1
1,2022/7/15 6:00,25,1
1,2022/7/15 6:10,31,13
1,2022/7/15 6:20,45,17
1,2022/7/15 6:30,57,21
1,2022/7/15 6:40,69,32
1,2022/7/15 6:50,105,50
1,2022/7/15 7:00,181,67
1,2022/7/15 7:10,215,73
1,2022/7/15 7:20,252,75
1,2022/7/15 7:30,323,97
1,2022/7/15 7:40,590,106
1,2022/7/15 7:50,639,110
1,2022/7/15 8:00,723,123
1,2022/7/15 8:10,687,226
1,2022/7/15 8:20,653,171
1,2022/7/15 8:30,573,234
1,2022/7/15 8:40,358,222
1,2022/7/15 8:50,278,180
1,2022/7/15 9:00,232,152
1,2022/7/15 9:10,174,121
1,2022/7/15 9:20,106,123
1,2022/7/15 9:30,68,107
1,2022/7/15 9:40,55,108
1,2022/7/15 9:50,50,97
1,2022/7/15 10:00,44,76
1,2022/7/15 10:10,42,81
1,2022/7/15 10:20,36,77
1,2022/7/15 10:30,31,72
1,2022/7/15 10:40,32,75
1,2022/7/15 10:50,35,72
1,2022/7/15 11:00,33,65
1,2022/7/15 11:10,26,66
1,2022/7/15 11:20,36,61
1,2022/7/15 11:30,33,82
1,2022/7/15 11:40,36,70
1,2022/7/15 11:50,35,76
1,2022/7/15 12:00,39,75
1,2022/7/15 12:10,41,77
1,2022/7/15 12:20,45,70
1,2022/7/15 12:30,43,84
1,2022/7/15 12:40,43,81
1,2022/7/15 12:50,44,75
1,2022/7/15 13:00,38,92
1,2022/7/15 13:10,38,76
1,2022/7/15 13:20,34,91
1,2022/7/15 13:30,37,76
1,2022/7/15 13:40,34,77
1,2022/7/15 13:50,36,76
1,2022/7/15 14:00,30,74
1,2022/7/15 14:10,35,77
1,2022/7/15 14:20,31,84
1,2022/7/15 14:30,30,76
1,2022/7/15 14:40,28,76
1,2022/7/15 14:50,27,81
1,2022/7/15 15:00,34,91
1,2022/7/15 15:10,39,76
1,2022/7/15 15:20,40,92
1,2022/7/15 15:30,42,87
1,2022/7/15 15:40,39,96
1,2022/7/15 15:50,36,97
1,2022/7/15 16:00,45,97
1,2022/7/15 16:10,53,109
1,2022/7/15 16:20,56,103
1,2022/7/15 16:30,52,102
1,2022/7/15 16:40,73,110
1,2022/7/15 16:50,68,111
1,2022/7/15 17:00,125,103
1,2022/7/15 17:10,208,110
1,2022/7/15 17:20,174,151
1,2022/7/15 17:30,163,191
1,2022/7/15 17:40,221,233
1,2022/7/15 17:50,183,217
1,2022/7/15 18:00,149,300
1,2022/7/15 18:10,203,327
1,2022/7/15 18:20,163,334
1,2022/7/15 18:30,74,319
1,2022/7/15 18:40,56,301
1,2022/7/15 18:50,46,256
1,2022/7/15 19:00,43,197
1,2022/7/15 19:10,40,147
1,2022/7/15 19:20,40,144
1,2022/7/15 19:30,37,110
1,2022/7/15 19:40,35,125
1,2022/7/15 19:50,28,125
1,2022/7/15 20:00,33,105
1,2022/7/15 20:10,38,108
1,2022/7/15 20:20,41,81
1,2022/7/15 20:30,40,122
1,2022/7/15 20:40,44,83
1,2022/7/15 20:50,32,107
1,2022/7/15 21:00,28,78
1,2022/7/15 21:10,27,127
1,2022/7/15 21:20,25,108
1,2022/7/15 21:30,29,99
1,2022/7/15 21:40,25,102
1,2022/7/15 21:50,23,78
1,2022/7/15 22:00,15,106
1,2022/7/15 22:10,2,73
1,2022/7/15 22:20,0,108
1,2022/7/15 22:30,0,79
1,2022/7/15 22:40,1,75
1,2022/7/15 22:50,0,34
2,2022/7/15 5:00,0,1
2,2022/7/15 5:10,1,1
2,2022/7/15 5:20,3,1
2,2022/7/15 5:30,8,1
2,2022/7/15 5:40,18,1
2,2022/7/15 5:50,21,6
2,2022/7/15 6:00,23,21
2,2022/7/15 6:10,30,21
2,2022/7/15 6:20,33,23
2,2022/7/15 6:30,41,38
2,2022/7/15 6:40,44,33
2,2022/7/15 6:50,63,52
2,2022/7/15 7:00,76,67
2,2022/7/15 7:10,91,68
2,2022/7/15 7:20,101,75
2,2022/7/15 7:30,162,105
2,2022/7/15 7:40,226,122
2,2022/7/15 7:50,274,185
2,2022/7/15 8:00,300,281
2,2022/7/15 8:10,318,507
2,2022/7/15 8:20,337,535
2,2022/7/15 8:30,303,434
2,2022/7/15 8:40,269,1126
2,2022/7/15 8:50,224,429
2,2022/7/15 9:00,182,317
2,2022/7/15 9:10,145,217
2,2022/7/15 9:20,83,181
2,2022/7/15 9:30,65,133
