,stationid,startTime,date,hour,minute,week,weekend,outNums,inNums,flow
0,21,2015/4/29 5:00:00,29,5,0,1,0,0.0,0.0,0.0
1,21,2015/4/29 5:10:00,29,5,10,1,0,0.0,3.0,3.0
2,21,2015/4/29 5:20:00,29,5,20,1,0,0.0,4.0,4.0
3,21,2015/4/29 5:30:00,29,5,30,1,0,0.0,5.0,5.0
4,21,2015/4/29 5:40:00,29,5,40,1,0,0.0,6.0,6.0
5,21,2015/4/29 5:50:00,29,5,50,1,0,0.0,13.0,13.0
6,21,2015/4/29 6:00:00,29,6,0,1,0,0.0,25.0,25.0
7,21,2015/4/29 6:10:00,29,6,10,1,0,0.0,20.0,20.0
8,21,2015/4/29 6:20:00,29,6,20,1,0,3.0,34.0,31.0
9,21,2015/4/29 6:30:00,29,6,30,1,0,10.0,40.0,30.0
10,21,2015/4/29 6:40:00,29,6,40,1,0,11.0,107.0,96.0
11,21,2015/4/29 6:50:00,29,6,50,1,0,17.0,109.0,92.0
12,21,2015/4/29 7:00:00,29,7,0,1,0,15.0,115.0,100.0
13,21,2015/4/29 7:10:00,29,7,10,1,0,21.0,189.0,168.0
14,21,2015/4/29 7:20:00,29,7,20,1,0,19.0,257.0,238.0
15,21,2015/4/29 7:30:00,29,7,30,1,0,36.0,311.0,275.0
16,21,2015/4/29 7:40:00,29,7,40,1,0,20.0,403.0,383.0
17,21,2015/4/29 7:50:00,29,7,50,1,0,28.0,324.0,296.0
18,21,2015/4/29 8:00:00,29,8,0,1,0,23.0,406.0,383.0
19,21,2015/4/29 8:10:00,29,8,10,1,0,71.0,411.0,340.0
20,21,2015/4/29 8:20:00,29,8,20,1,0,34.0,276.0,242.0
21,21,2015/4/29 8:30:00,29,8,30,1,0,45.0,185.0,140.0
22,21,2015/4/29 8:40:00,29,8,40,1,0,38.0,219.0,181.0
23,21,2015/4/29 8:50:00,29,8,50,1,0,32.0,169.0,137.0
24,21,2015/4/29 9:00:00,29,9,0,1,0,28.0,102.0,74.0
25,21,2015/4/29 9:10:00,29,9,10,1,0,26.0,110.0,84.0
26,21,2015/4/29 9:20:00,29,9,20,1,0,19.0,77.0,58.0
27,21,2015/4/29 9:30:00,29,9,30,1,0,25.0,62.0,37.0
28,21,2015/4/29 9:40:00,29,9,40,1,0,22.0,43.0,21.0
29,21,2015/4/29 9:50:00,29,9,50,1,0,16.0,47.0,31.0
30,21,2015/4/29 10:00:00,29,10,0,1,0,13.0,38.0,25.0
