,线路,站点名,"""站点名地铁站名"",",latitude,longitude,stationid
0,10,国权路,国权路地铁站,121.510024,31.289276,1
1,10,海伦路,海伦路地铁站,121.488697,31.259303,2
2,10,航中路,航中路地铁站,121.355336,31.165417,3
3,10,虹桥1号航站楼,虹桥1号航站楼地铁站,121.347371,31.191363,4
4,10,虹桥路,虹桥路地铁站,121.420814,31.197524,5
5,10,江湾体育场,江湾体育场地铁站,121.513314,31.304293,6
6,10,交通大学,交通大学地铁站,121.435253,31.202213,7
7,10,龙柏新村,龙柏新村地铁站,121.37048,31.176882,8
8,10,龙溪路,龙溪路地铁站,121.380034,31.1944,9
9,10,南京东路,南京东路地铁站,121.484628,31.238101,10
10,10,三门路,三门路地铁站,121.50834,31.313214,11
11,10,陕西南路,陕西南路地铁站,121.458741,31.215148,12
12,10,上海动物园,上海动物园地铁站,121.368137,31.190246,13
13,10,上海图书馆,上海图书馆地铁站,121.444363,31.20796,14
14,10,水城路,水城路地铁站,121.392259,31.199482,15
15,10,四川北路,四川北路地铁站,121.484208,31.252035,16
16,10,宋园路,宋园路地铁站,121.41208,31.19654,17
17,10,天潼路,天潼路地铁站,121.482321,31.243815,18
18,10,同济大学,同济大学地铁站,121.506357,31.282086,19
19,10,五角场,五角场地铁站,121.514632,31.298043,20
20,10,新江湾城,新江湾城地铁站,121.506951,31.328496,21
21,10,新天地,新天地地铁站,121.475182,31.216367,22
22,10,伊犁路,伊犁路地铁站,121.403899,31.19888,23
23,10,殷高东路,殷高东路地铁站,121.506797,31.321768,24
24,10,邮电新村,邮电新村地铁站,121.494247,31.268431,25
25,10,豫园,豫园地铁站,121.487426,31.228005,26
26,10,紫藤路,紫藤路地铁站,121.364831,31.169674,27
27,11,安亭,安亭地铁站,121.161985,31.28849,28
28,11,白银路,白银路地铁站,121.24535,31.345359,29
29,11,曹杨路,曹杨路地铁站,121.417701,31.239302,30
30,11,昌吉东路,昌吉东路地铁站,121.200384,31.29362,31
31,11,枫桥路,枫桥路地铁站,121.411402,31.24185,32
32,11,光明路,光明路地铁站,121.117186,31.29621,33
33,11,花桥,花桥地铁站,121.104407,31.29879,34
34,11,嘉定北,嘉定北地铁站,121.23735,31.391549,35
35,11,嘉定西,嘉定西地铁站,121.227855,31.377107,36
36,11,嘉定新城,嘉定新城地铁站,121.254294,31.330062,37
37,11,江苏路,江苏路地铁站,121.430635,31.220408,38
38,11,李子园路,李子园路地铁站,121.389969,31.26902,39
39,11,龙华,龙华地铁站,121.452958,31.172672,40
40,11,龙耀路,龙耀路地铁站,121.459702,31.15972,41
41,11,隆德路,隆德路地铁站,121.423576,31.230509,42
42,11,罗山路,罗山路地铁站,121.593152,31.153259,43
43,11,马陆,马陆地铁站,121.276906,31.319675,44
44,11,南翔,南翔地铁站,121.323141,31.296952,45
45,11,浦三路,浦三路地铁站,121.539005,31.150861,46
46,11,祁连山路,祁连山路地铁站,121.376035,31.27165,47
47,11,三林,三林地铁站,121.511796,31.143224,48
48,11,三林东,三林东地铁站,121.522999,31.146459,49
49,11,上海汽车城,上海汽车城地铁站,121.180742,31.285403,50
50,11,上海赛车场,上海赛车场地铁站,121.226098,31.331898,51
51,11,上海西站,上海西站地铁站,121.400926,31.262693,52
52,11,上海游泳馆,上海游泳馆地铁站,121.441424,31.179123,53
53,11,桃浦新村,桃浦新村地铁站,121.349623,31.281603,54
54,11,武威路,武威路地铁站,121.364678,31.276646,55
55,11,御桥,御桥地铁站,121.570914,31.158131,56
56,11,云锦路,云锦路地铁站,121.458519,31.166488,57
57,11,兆丰路,兆丰路地铁站,121.150315,31.289048,58
58,11,真如,真如地铁站,121.407219,31.250767,59
59,12,爱国路,爱国路地铁站,121.552655,31.279788,60
60,12,东陆路,东陆路地铁站,121.579124,31.282533,61
61,12,复兴岛,复兴岛地铁站,121.561315,31.280779,62
62,12,国际客运中心,国际客运中心地铁站,121.498158,31.25016,63
63,12,江浦公园,江浦公园地铁站,121.523697,31.26457,64
64,12,金海路,金海路地铁站,121.638629,31.263141,65
65,12,金京路,金京路地铁站,121.615477,31.279823,66
66,12,巨峰路,巨峰路地铁站,121.588365,31.280684,67
67,12,隆昌路,隆昌路地铁站,121.544692,31.275213,68
68,12,宁国路,宁国路地铁站,121.532352,31.268574,69
69,12,申江路,申江路地铁站,121.626863,31.280231,70
70,12,提篮桥,提篮桥地铁站,121.506801,31.253518,71
71,12,杨高北路,杨高北路地铁站,121.60296,31.280092,72
72,13,大渡河路,大渡河路地铁站,121.394431,31.231752,73
73,13,丰庄,丰庄地铁站,121.355141,31.242553,74
74,13,金沙江路,金沙江路地铁站,121.413201,31.232147,75
75,13,金沙江西路,金沙江西路地铁站,121.335156,31.241152,76
76,13,金运路,金运路地铁站,121.319308,31.240986,77
77,13,祁连山南路,祁连山南路地铁站,121.367275,31.237625,78
78,13,武宁路,武宁路地铁站,121.430504,31.234346,79
79,13,真北路,真北路地铁站,121.381948,31.232235,80
80,16,滴水湖,滴水湖地铁站,121.929583,30.907245,81
81,16,航头东,航头东地铁站,121.617494,31.054919,82
82,16,鹤沙航城,鹤沙航城地铁站,121.611239,31.077797,83
83,16,华夏中路,华夏中路地铁站,121.583109,31.175759,84
84,16,惠南,惠南地铁站,121.761677,31.053828,85
85,16,惠南东,惠南东地铁站,121.7938,31.026448,86
86,16,临港大道,临港大道地铁站,121.910851,30.923519,87
87,16,龙阳路,龙阳路地铁站,121.557634,31.203575,88
88,16,上海野生动物园,上海野生动物园地铁站,121.699218,31.050325,89
89,16,书院,书院地铁站,121.85052,30.959264,90
90,16,新场,新场地铁站,121.64898,31.045561,91
91,16,周浦东,周浦东地铁站,121.606895,31.110038,92
92,1,宝安公路,宝安公路地铁站,121.430914,31.369555,93
93,1,漕宝路,漕宝路地铁站,121.433143,31.168344,94
94,1,常熟路,常熟路地铁站,121.449141,31.213524,95
95,1,富锦路,富锦路地铁站,121.424661,31.39226,96
96,1,共富新村,共富新村地铁站,121.434063,31.355082,97
97,1,共康路,共康路地铁站,121.447063,31.318936,98
98,1,汉中路,汉中路地铁站,121.458699,31.241883,99
99,1,衡山路,衡山路地铁站,121.446424,31.204528,100
100,1,呼兰路,呼兰路地铁站,121.437711,31.339703,101
101,1,黄陂南路,黄陂南路地铁站,121.472904,31.223898,102
102,1,锦江乐园,锦江乐园地铁站,121.414107,31.142217,103
103,1,莲花路,莲花路地铁站,121.40291,31.1309,104
104,1,彭浦新村,彭浦新村地铁站,121.448642,31.306604,105
105,1,人民广场,人民广场地铁站,121.475108,31.232687,106
106,1,陕西南路,陕西南路地铁站,121.458741,31.215148,107
107,1,上海火车站,上海火车站地铁站,121.457939,31.249632,108
108,1,上海马戏城,上海马戏城地铁站,121.452023,31.279895,109
109,1,上海南站,上海南站地铁站,121.430041,31.154579,110
110,1,上海体育馆,上海体育馆地铁站,121.437423,31.182813,111
111,1,莘庄,莘庄地铁站,121.385373,31.111152,112
112,1,通河新村,通河新村地铁站,121.441546,31.33113,113
113,1,外环路,外环路地铁站,121.39302,31.120899,114
114,1,汶水路,汶水路地铁站,121.450251,31.292556,115
115,1,新闸路,新闸路地铁站,121.468151,31.238373,116
116,1,徐家汇,徐家汇地铁站,121.436603,31.195514,117
117,1,延长路,延长路地铁站,121.455329,31.271675,118
118,1,友谊西路,友谊西路地铁站,121.427953,31.381296,119
119,1,中山北路,中山北路地铁站,121.459204,31.258891,120
120,2,北新泾,北新泾地铁站,121.373998,31.216395,121
121,2,川沙,川沙地铁站,121.69821,31.186741,122
122,2,创新中路,创新中路地铁站,121.673713,31.213871,123
123,2,东昌路,东昌路地铁站,121.515556,31.23327,124
124,2,广兰路,广兰路地铁站,121.621072,31.21105,125
125,2,海天三路,海天三路地铁站,121.796878,31.168459,126
126,2,虹桥2号航站楼,虹桥2号航站楼地铁站,121.3263,31.194211,127
127,2,虹桥火车站,虹桥火车站地铁站,121.31891,31.193987,128
128,2,华夏东路,华夏东路地铁站,121.680972,31.196575,129
129,2,江苏路,江苏路地铁站,121.430635,31.220408,130
130,2,金科路,金科路地铁站,121.601989,31.204213,131
131,2,静安寺,静安寺地铁站,121.446221,31.223083,132
132,2,凌空路,凌空路地铁站,121.724095,31.192861,133
133,2,龙阳路,龙阳路地铁站,121.557634,31.203575,134
134,2,娄山关路,娄山关路地铁站,121.404058,31.211158,135
135,2,陆家嘴,陆家嘴地铁站,121.502129,31.238259,136
136,2,南京东路,南京东路地铁站,121.484628,31.238101,137
137,2,南京西路,南京西路地铁站,121.459971,31.229853,138
138,2,浦东国际机场,浦东国际机场地铁站,121.806436,31.149596,139
139,2,上海科技馆,上海科技馆地铁站,121.544439,31.21882,140
140,2,世纪公园,世纪公园地铁站,121.550909,31.209421,141
141,2,淞虹路,淞虹路地铁站,121.359536,31.218225,142
142,2,唐镇,唐镇地铁站,121.656269,31.214107,143
143,2,威宁路,威宁路地铁站,121.387285,31.21487,144
144,2,徐泾东,徐泾东地铁站,121.299204,31.188367,145
145,2,远东大道,远东大道地铁站,121.755301,31.199385,146
146,2,张江高科,张江高科地铁站,121.587687,31.201832,147
147,2,中山公园,中山公园地铁站,121.415773,31.217948,148
148,3,宝山路,宝山路地铁站,121.476298,31.251523,149
149,3,宝杨路,宝杨路地铁站,121.479574,31.395315,150
150,3,曹杨路,曹杨路地铁站,121.417701,31.239302,151
151,3,漕溪路,漕溪路地铁站,121.43841,31.176746,152
