,线路,站点名,"""站点名地铁站名"","
0,10,国权路,国权路地铁站
1,10,海伦路,海伦路地铁站
2,10,航中路,航中路地铁站
3,10,虹桥1号航站楼,虹桥1号航站楼地铁站
4,10,虹桥路,虹桥路地铁站
5,10,江湾体育场,江湾体育场地铁站
6,10,交通大学,交通大学地铁站
7,10,龙柏新村,龙柏新村地铁站
8,10,龙溪路,龙溪路地铁站
9,10,南京东路,南京东路地铁站
10,10,三门路,三门路地铁站
11,10,陕西南路,陕西南路地铁站
12,10,上海动物园,上海动物园地铁站
13,10,上海图书馆,上海图书馆地铁站
14,10,水城路,水城路地铁站
15,10,四川北路,四川北路地铁站
16,10,宋园路,宋园路地铁站
17,10,天潼路,天潼路地铁站
18,10,同济大学,同济大学地铁站
19,10,五角场,五角场地铁站
20,10,新江湾城,新江湾城地铁站
21,10,新天地,新天地地铁站
22,10,伊犁路,伊犁路地铁站
23,10,殷高东路,殷高东路地铁站
24,10,邮电新村,邮电新村地铁站
25,10,豫园,豫园地铁站
26,10,紫藤路,紫藤路地铁站
27,11,安亭,安亭地铁站
28,11,白银路,白银路地铁站
29,11,曹杨路,曹杨路地铁站
30,11,昌吉东路,昌吉东路地铁站
31,11,枫桥路,枫桥路地铁站
32,11,光明路,光明路地铁站
33,11,花桥,花桥地铁站
34,11,嘉定北,嘉定北地铁站
35,11,嘉定西,嘉定西地铁站
36,11,嘉定新城,嘉定新城地铁站
37,11,江苏路,江苏路地铁站
38,11,李子园路,李子园路地铁站
39,11,龙华,龙华地铁站
40,11,龙耀路,龙耀路地铁站
41,11,隆德路,隆德路地铁站
42,11,罗山路,罗山路地铁站
43,11,马陆,马陆地铁站
44,11,南翔,南翔地铁站
45,11,浦三路,浦三路地铁站
46,11,祁连山路,祁连山路地铁站
47,11,三林,三林地铁站
48,11,三林东,三林东地铁站
49,11,上海汽车城,上海汽车城地铁站
50,11,上海赛车场,上海赛车场地铁站
51,11,上海西站,上海西站地铁站
52,11,上海游泳馆,上海游泳馆地铁站
53,11,桃浦新村,桃浦新村地铁站
54,11,武威路,武威路地铁站
55,11,御桥,御桥地铁站
56,11,云锦路,云锦路地铁站
57,11,兆丰路,兆丰路地铁站
58,11,真如,真如地铁站
59,12,爱国路,爱国路地铁站
60,12,东陆路,东陆路地铁站
61,12,复兴岛,复兴岛地铁站
62,12,国际客运中心,国际客运中心地铁站
63,12,江浦公园,江浦公园地铁站
64,12,金海路,金海路地铁站
65,12,金京路,金京路地铁站
66,12,巨峰路,巨峰路地铁站
67,12,隆昌路,隆昌路地铁站
68,12,宁国路,宁国路地铁站
69,12,申江路,申江路地铁站
70,12,提篮桥,提篮桥地铁站
71,12,杨高北路,杨高北路地铁站
72,13,大渡河路,大渡河路地铁站
73,13,丰庄,丰庄地铁站
74,13,金沙江路,金沙江路地铁站
75,13,金沙江西路,金沙江西路地铁站
76,13,金运路,金运路地铁站
77,13,祁连山南路,祁连山南路地铁站
78,13,武宁路,武宁路地铁站
79,13,真北路,真北路地铁站
80,16,滴水湖,滴水湖地铁站
81,16,航头东,航头东地铁站
82,16,鹤沙航城,鹤沙航城地铁站
83,16,华夏中路,华夏中路地铁站
84,16,惠南,惠南地铁站
85,16,惠南东,惠南东地铁站
86,16,临港大道,临港大道地铁站
87,16,龙阳路,龙阳路地铁站
88,16,上海野生动物园,上海野生动物园地铁站
89,16,书院,书院地铁站
90,16,新场,新场地铁站
91,16,周浦东,周浦东地铁站
92,1,宝安公路,宝安公路地铁站
93,1,漕宝路,漕宝路地铁站
94,1,常熟路,常熟路地铁站
95,1,富锦路,富锦路地铁站
96,1,共富新村,共富新村地铁站
97,1,共康路,共康路地铁站
98,1,汉中路,汉中路地铁站
99,1,衡山路,衡山路地铁站
100,1,呼兰路,呼兰路地铁站
101,1,黄陂南路,黄陂南路地铁站
102,1,锦江乐园,锦江乐园地铁站
103,1,莲花路,莲花路地铁站
104,1,彭浦新村,彭浦新村地铁站
105,1,人民广场,人民广场地铁站
106,1,陕西南路,陕西南路地铁站
107,1,上海火车站,上海火车站地铁站
108,1,上海马戏城,上海马戏城地铁站
109,1,上海南站,上海南站地铁站
110,1,上海体育馆,上海体育馆地铁站
111,1,莘庄,莘庄地铁站
112,1,通河新村,通河新村地铁站
113,1,外环路,外环路地铁站
114,1,汶水路,汶水路地铁站
115,1,新闸路,新闸路地铁站
116,1,徐家汇,徐家汇地铁站
117,1,延长路,延长路地铁站
118,1,友谊西路,友谊西路地铁站
119,1,中山北路,中山北路地铁站
120,2,北新泾,北新泾地铁站
121,2,川沙,川沙地铁站
122,2,创新中路,创新中路地铁站
123,2,东昌路,东昌路地铁站
124,2,广兰路,广兰路地铁站
125,2,海天三路,海天三路地铁站
126,2,虹桥2号航站楼,虹桥2号航站楼地铁站
127,2,虹桥火车站,虹桥火车站地铁站
128,2,华夏东路,华夏东路地铁站
129,2,江苏路,江苏路地铁站
130,2,金科路,金科路地铁站
131,2,静安寺,静安寺地铁站
132,2,凌空路,凌空路地铁站
133,2,龙阳路,龙阳路地铁站
134,2,娄山关路,娄山关路地铁站
135,2,陆家嘴,陆家嘴地铁站
136,2,南京东路,南京东路地铁站
137,2,南京西路,南京西路地铁站
138,2,浦东国际机场,浦东国际机场地铁站
139,2,上海科技馆,上海科技馆地铁站
140,2,世纪公园,世纪公园地铁站
141,2,淞虹路,淞虹路地铁站
142,2,唐镇,唐镇地铁站
143,2,威宁路,威宁路地铁站
144,2,徐泾东,徐泾东地铁站
145,2,远东大道,远东大道地铁站
146,2,张江高科,张江高科地铁站
147,2,中山公园,中山公园地铁站
148,3,宝山路,宝山路地铁站
149,3,宝杨路,宝杨路地铁站
150,3,曹杨路,曹杨路地铁站
151,3,漕溪路,漕溪路地铁站
152,3,赤峰路,赤峰路地铁站
153,3,大柏树,大柏树地铁站
154,3,东宝兴路,东宝兴路地铁站
155,3,虹口足球场,虹口足球场地铁站
156,3,虹桥路,虹桥路地铁站
157,3,江湾镇,江湾镇地铁站
158,3,江杨北路,江杨北路地铁站
159,3,金沙江路,金沙江路地铁站
160,3,龙漕路,龙漕路地铁站
161,3,上海火车站,上海火车站地铁站
162,3,上海南站,上海南站地铁站
163,3,石龙路,石龙路地铁站
164,3,水产路,水产路地铁站
165,3,淞浜路,淞浜路地铁站
166,3,淞发路,淞发路地铁站
167,3,铁力路,铁力路地铁站
168,3,延安西路,延安西路地铁站
169,3,宜山路,宜山路地铁站
170,3,殷高西路,殷高西路地铁站
171,3,友谊路,友谊路地铁站
172,3,张华浜,张华浜地铁站
173,3,长江南路,长江南路地铁站
174,3,镇坪路,镇坪路地铁站
175,3,中山公园,中山公园地铁站
176,3,中潭路,中潭路地铁站
177,4,大连路,大连路地铁站
178,4,大木桥路,大木桥路地铁站
179,4,东安路,东安路地铁站
180,4,海伦路,海伦路地铁站
181,4,蓝村路,蓝村路地铁站
182,4,临平路,临平路地铁站
183,4,鲁班路,鲁班路地铁站
184,4,南浦大桥,南浦大桥地铁站
185,4,浦电路,浦电路地铁站
186,4,浦东大道,浦东大道地铁站
187,4,上海体育场,上海体育场地铁站
188,4,上海体育馆,上海体育馆地铁站
189,4,世纪大道,世纪大道地铁站
190,4,塘桥,塘桥地铁站
191,4,杨树浦路,杨树浦路地铁站
192,4,宜山路,宜山路地铁站
193,5,北桥,北桥地铁站
194,5,春申路,春申路地铁站
195,5,东川路,东川路地铁站
196,5,华宁路,华宁路地铁站
197,5,剑川路,剑川路地铁站
198,5,金平路,金平路地铁站
199,5,闵行开发区,闵行开发区地铁站
200,5,文井路,文井路地铁站
201,5,银都路,银都路地铁站
202,5,颛桥,颛桥地铁站
203,6,北洋泾路,北洋泾路地铁站
204,6,博兴路,博兴路地铁站
205,6,德平路,德平路地铁站
206,6,东方体育中心,东方体育中心地铁站
207,6,东靖路,东靖路地铁站
208,6,东明路,东明路地铁站
209,6,港城路,港城路地铁站
210,6,高科西路,高科西路地铁站
211,6,高青路,高青路地铁站
212,6,航津路,航津路地铁站
213,6,华夏西路,华夏西路地铁站
214,6,金桥路,金桥路地铁站
215,6,巨峰路,巨峰路地铁站
216,6,蓝村路,蓝村路地铁站
217,6,临沂新村,临沂新村地铁站
218,6,灵岩南路,灵岩南路地铁站
219,6,民生路,民生路地铁站
220,6,浦电路,浦电路地铁站
221,6,上海儿童医学中心,上海儿童医学中心地铁站
222,6,上南路,上南路地铁站
223,6,外高桥保税区北,外高桥保税区北地铁站
224,6,外高桥保税区南,外高桥保税区南地铁站
225,6,五莲路,五莲路地铁站
226,6,五洲大道,五洲大道地铁站
227,6,源深体育中心,源深体育中心地铁站
228,6,云山路,云山路地铁站
229,6,洲海路,洲海路地铁站
230,7,昌平路,昌平路地铁站
231,7,常熟路,常熟路地铁站
232,7,场中路,场中路地铁站
233,7,大场镇,大场镇地铁站
234,7,大华三路,大华三路地铁站
235,7,东安路,东安路地铁站
236,7,芳华路,芳华路地铁站
237,7,顾村公园,顾村公园地铁站
238,7,后滩,后滩地铁站
239,7,花木路,花木路地铁站
240,7,锦绣路,锦绣路地铁站
241,7,静安寺,静安寺地铁站
242,7,岚皋路,岚皋路地铁站
243,7,刘行,刘行地铁站
244,7,龙华中路,龙华中路地铁站
245,7,龙阳路,龙阳路地铁站
246,7,罗南新村,罗南新村地铁站
247,7,美兰湖,美兰湖地铁站
248,7,南陈路,南陈路地铁站
249,7,潘广路,潘广路地铁站
250,7,祁华路,祁华路地铁站
251,7,上大路,上大路地铁站
252,7,上海大学站,上海大学站地铁站
253,7,新村路,新村路地铁站
254,7,行知路,行知路地铁站
255,7,杨高南路,杨高南路地铁站
256,7,云台路,云台路地铁站
257,7,长清路,长清路地铁站
258,7,长寿路,长寿路地铁站
259,7,肇嘉浜路,肇嘉浜路地铁站
260,7,镇坪路,镇坪路地铁站
261,8,鞍山新村,鞍山新村地铁站
262,8,成山路,成山路地铁站
263,8,大世界,大世界地铁站
264,8,虹口足球场,虹口足球场地铁站
265,8,黄兴公园,黄兴公园地铁站
266,8,黄兴路,黄兴路地铁站
267,8,江浦路,江浦路地铁站
268,8,江月路,江月路地铁站
269,8,老西门,老西门地铁站
270,8,联航路,联航路地铁站
271,8,凌兆新村,凌兆新村地铁站
272,8,芦恒路,芦恒路地铁站
273,8,陆家浜路,陆家浜路地铁站
274,8,嫩江路,嫩江路地铁站
275,8,浦江镇,浦江镇地铁站
276,8,曲阜路,曲阜路地铁站
277,8,曲阳路,曲阳路地铁站
278,8,人民广场,人民广场地铁站
279,8,沈杜公路,沈杜公路地铁站
280,8,市光路,市光路地铁站
281,8,四平路,四平路地铁站
