,经纬,latitude,longitude,"""站点名地铁站名"","
0,31.259303 121.488697 '海伦路地铁站',121.488697,31.259303,海伦路地铁站
1,31.289276 121.510024 '国权路地铁站',121.510024,31.289276,国权路地铁站
2,31.165417 121.355336 '航中路地铁站',121.355336,31.165417,航中路地铁站
3,31.191363 121.347371 '虹桥1号航站楼地铁站',121.347371,31.191363,虹桥1号航站楼地铁站
4,31.304293 121.513314 '江湾体育场地铁站',121.513314,31.304293,江湾体育场地铁站
5,31.197524 121.420814 '虹桥路地铁站',121.420814,31.197524,虹桥路地铁站
6,31.176882 121.37048 '龙柏新村地铁站',121.37048,31.176882,龙柏新村地铁站
7,31.202213 121.435253 '交通大学地铁站',121.435253,31.202213,交通大学地铁站
8,31.1944 121.380034 '龙溪路地铁站',121.380034,31.1944,龙溪路地铁站
9,31.313214 121.50834 '三门路地铁站',121.50834,31.313214,三门路地铁站
10,31.238101 121.484628 '南京东路地铁站',121.484628,31.238101,南京东路地铁站
11,31.215148 121.458741 '陕西南路地铁站',121.458741,31.215148,陕西南路地铁站
12,31.20796 121.444363 '上海图书馆地铁站',121.444363,31.20796,上海图书馆地铁站
13,31.199482 121.392259 '水城路地铁站',121.392259,31.199482,水城路地铁站
14,31.190246 121.368137 '上海动物园地铁站',121.368137,31.190246,上海动物园地铁站
15,31.19654 121.41208 '宋园路地铁站',121.41208,31.19654,宋园路地铁站
16,31.252035 121.484208 '四川北路地铁站',121.484208,31.252035,四川北路地铁站
17,31.243815 121.482321 '天潼路地铁站',121.482321,31.243815,天潼路地铁站
18,31.282086 121.506357 '同济大学地铁站',121.506357,31.282086,同济大学地铁站
19,31.298043 121.514632 '五角场地铁站',121.514632,31.298043,五角场地铁站
20,31.328496 121.506951 '新江湾城地铁站',121.506951,31.328496,新江湾城地铁站
21,31.19888 121.403899 '伊犁路地铁站',121.403899,31.19888,伊犁路地铁站
22,31.216367 121.475182 '新天地地铁站',121.475182,31.216367,新天地地铁站
23,31.321768 121.506797 '殷高东路地铁站',121.506797,31.321768,殷高东路地铁站
24,31.268431 121.494247 '邮电新村地铁站',121.494247,31.268431,邮电新村地铁站
25,31.169674 121.364831 '紫藤路地铁站',121.364831,31.169674,紫藤路地铁站
26,31.228005 121.487426 '豫园地铁站',121.487426,31.228005,豫园地铁站
27,31.345359 121.24535 '白银路地铁站',121.24535,31.345359,白银路地铁站
28,31.28849 121.161985 '安亭地铁站',121.161985,31.28849,安亭地铁站
29,31.29362 121.200384 '昌吉东路地铁站',121.200384,31.29362,昌吉东路地铁站
30,31.239302 121.417701 '曹杨路地铁站',121.417701,31.239302,曹杨路地铁站
31,31.24185 121.411402 '枫桥路地铁站',121.411402,31.24185,枫桥路地铁站
32,31.29879 121.104407 '花桥地铁站',121.104407,31.29879,花桥地铁站
33,31.29621 121.117186 '光明路地铁站',121.117186,31.29621,光明路地铁站
34,31.391549 121.23735 '嘉定北地铁站',121.23735,31.391549,嘉定北地铁站
35,31.377107 121.227855 '嘉定西地铁站',121.227855,31.377107,嘉定西地铁站
36,31.330062 121.254294 '嘉定新城地铁站',121.254294,31.330062,嘉定新城地铁站
37,31.172672 121.452958 '龙华地铁站',121.452958,31.172672,龙华地铁站
38,31.15972 121.459702 '龙耀路地铁站',121.459702,31.15972,龙耀路地铁站
39,31.230509 121.423576 '隆德路地铁站',121.423576,31.230509,隆德路地铁站
40,31.220408 121.430635 '江苏路地铁站',121.430635,31.220408,江苏路地铁站
41,31.26902 121.389969 '李子园路地铁站',121.389969,31.26902,李子园路地铁站
42,31.153259 121.593152 '罗山路地铁站',121.593152,31.153259,罗山路地铁站
43,31.319675 121.276906 '马陆地铁站',121.276906,31.319675,马陆地铁站
44,31.150861 121.539005 '浦三路地铁站',121.539005,31.150861,浦三路地铁站
45,31.296952 121.323141 '南翔地铁站',121.323141,31.296952,南翔地铁站
46,31.27165 121.376035 '祁连山路地铁站',121.376035,31.27165,祁连山路地铁站
