,Unnamed: 0,stationid,hour,minute,week,weekend,date,count,sum,outNums,inNums
30,30,1,5,0,0,1,5,1.0,1.0,1.0,0.0
31,31,1,5,10,0,1,5,4.0,0.0,0.0,4.0
32,32,1,5,20,0,1,5,26.0,0.0,0.0,26.0
33,33,1,5,30,0,1,5,26.0,0.0,0.0,26.0
34,34,1,5,40,0,1,5,43.0,0.0,0.0,43.0
35,35,1,5,50,0,1,5,44.0,0.0,0.0,44.0
36,36,1,6,0,0,1,5,43.0,1.0,1.0,42.0
37,37,1,6,10,0,1,5,63.0,4.0,4.0,59.0
38,38,1,6,20,0,1,5,50.0,7.0,7.0,43.0
39,39,1,6,30,0,1,5,73.0,6.0,6.0,67.0
40,40,1,6,40,0,1,5,55.0,10.0,10.0,45.0
41,41,1,6,50,0,1,5,64.0,3.0,3.0,61.0
42,42,1,7,0,0,1,5,56.0,5.0,5.0,51.0
43,43,1,7,10,0,1,5,68.0,10.0,10.0,58.0
44,44,1,7,20,0,1,5,47.0,9.0,9.0,38.0
45,45,1,7,30,0,1,5,70.0,13.0,13.0,57.0
46,46,1,7,40,0,1,5,68.0,13.0,13.0,55.0
47,47,1,7,50,0,1,5,80.0,13.0,13.0,67.0
48,48,1,8,0,0,1,5,77.0,12.0,12.0,65.0
49,49,1,8,10,0,1,5,77.0,21.0,21.0,56.0
50,50,1,8,20,0,1,5,98.0,22.0,22.0,76.0
51,51,1,8,30,0,1,5,84.0,20.0,20.0,64.0
52,52,1,8,40,0,1,5,100.0,31.0,31.0,69.0
53,53,1,8,50,0,1,5,101.0,18.0,18.0,83.0
54,54,1,9,0,0,1,5,93.0,24.0,24.0,69.0
55,55,1,9,10,0,1,5,94.0,19.0,19.0,75.0
56,56,1,9,20,0,1,5,91.0,29.0,29.0,62.0
57,57,1,9,30,0,1,5,106.0,30.0,30.0,76.0
58,58,1,9,40,0,1,5,138.0,32.0,32.0,106.0
59,59,1,9,50,0,1,5,81.0,22.0,22.0,59.0
60,60,1,10,0,0,1,5,127.0,32.0,32.0,95.0
61,61,1,10,10,0,1,5,112.0,22.0,22.0,90.0
62,62,1,10,20,0,1,5,108.0,35.0,35.0,73.0
63,63,1,10,30,0,1,5,119.0,29.0,29.0,90.0
64,64,1,10,40,0,1,5,122.0,40.0,40.0,82.0
65,65,1,10,50,0,1,5,134.0,55.0,55.0,79.0
66,66,1,11,0,0,1,5,135.0,45.0,45.0,90.0
67,67,1,11,10,0,1,5,127.0,45.0,45.0,82.0
68,68,1,11,20,0,1,5,127.0,41.0,41.0,86.0
69,69,1,11,30,0,1,5,126.0,45.0,45.0,81.0
70,70,1,11,40,0,1,5,103.0,44.0,44.0,59.0
71,71,1,11,50,0,1,5,124.0,51.0,51.0,73.0
72,72,1,12,0,0,1,5,98.0,40.0,40.0,58.0
73,73,1,12,10,0,1,5,92.0,31.0,31.0,61.0
74,74,1,12,20,0,1,5,119.0,44.0,44.0,75.0
75,75,1,12,30,0,1,5,140.0,65.0,65.0,75.0
76,76,1,12,40,0,1,5,106.0,48.0,48.0,58.0
77,77,1,12,50,0,1,5,110.0,45.0,45.0,65.0
78,78,1,13,0,0,1,5,120.0,44.0,44.0,76.0
79,79,1,13,10,0,1,5,137.0,64.0,64.0,73.0
80,80,1,13,20,0,1,5,164.0,66.0,66.0,98.0
81,81,1,13,30,0,1,5,110.0,47.0,47.0,63.0
82,82,1,13,40,0,1,5,147.0,72.0,72.0,75.0
83,83,1,13,50,0,1,5,122.0,54.0,54.0,68.0
84,84,1,14,0,0,1,5,131.0,61.0,61.0,70.0
85,85,1,14,10,0,1,5,137.0,61.0,61.0,76.0
86,86,1,14,20,0,1,5,116.0,55.0,55.0,61.0
87,87,1,14,30,0,1,5,126.0,56.0,56.0,70.0
88,88,1,14,40,0,1,5,140.0,67.0,67.0,73.0
89,89,1,14,50,0,1,5,126.0,63.0,63.0,63.0
90,90,1,15,0,0,1,5,129.0,65.0,65.0,64.0
91,91,1,15,10,0,1,5,129.0,73.0,73.0,56.0
92,92,1,15,20,0,1,5,104.0,44.0,44.0,60.0
93,93,1,15,30,0,1,5,116.0,74.0,74.0,42.0
94,94,1,15,40,0,1,5,123.0,69.0,69.0,54.0
95,95,1,15,50,0,1,5,147.0,92.0,92.0,55.0
96,96,1,16,0,0,1,5,126.0,72.0,72.0,54.0
97,97,1,16,10,0,1,5,131.0,74.0,74.0,57.0
98,98,1,16,20,0,1,5,130.0,79.0,79.0,51.0
99,99,1,16,30,0,1,5,134.0,85.0,85.0,49.0
100,100,1,16,40,0,1,5,154.0,96.0,96.0,58.0
101,101,1,16,50,0,1,5,126.0,71.0,71.0,55.0
102,102,1,17,0,0,1,5,153.0,73.0,73.0,80.0
103,103,1,17,10,0,1,5,148.0,87.0,87.0,61.0
104,104,1,17,20,0,1,5,199.0,121.0,121.0,78.0
105,105,1,17,30,0,1,5,163.0,117.0,117.0,46.0
106,106,1,17,40,0,1,5,152.0,114.0,114.0,38.0
107,107,1,17,50,0,1,5,150.0,83.0,83.0,67.0
108,108,1,18,0,0,1,5,129.0,99.0,99.0,30.0
109,109,1,18,10,0,1,5,138.0,86.0,86.0,52.0
110,110,1,18,20,0,1,5,131.0,91.0,91.0,40.0
111,111,1,18,30,0,1,5,97.0,71.0,71.0,26.0
112,112,1,18,40,0,1,5,161.0,106.0,106.0,55.0
113,113,1,18,50,0,1,5,103.0,76.0,76.0,27.0
114,114,1,19,0,0,1,5,101.0,76.0,76.0,25.0
115,115,1,19,10,0,1,5,97.0,74.0,74.0,23.0
116,116,1,19,20,0,1,5,116.0,79.0,79.0,37.0
117,117,1,19,30,0,1,5,127.0,100.0,100.0,27.0
118,118,1,19,40,0,1,5,114.0,89.0,89.0,25.0
119,119,1,19,50,0,1,5,127.0,90.0,90.0,37.0
120,120,1,20,0,0,1,5,121.0,81.0,81.0,40.0
121,121,1,20,10,0,1,5,142.0,119.0,119.0,23.0
122,122,1,20,20,0,1,5,114.0,74.0,74.0,40.0
123,123,1,20,30,0,1,5,143.0,109.0,109.0,34.0
124,124,1,20,40,0,1,5,82.0,58.0,58.0,24.0
125,125,1,20,50,0,1,5,108.0,84.0,84.0,24.0
126,126,1,21,0,0,1,5,97.0,69.0,69.0,28.0
127,127,1,21,10,0,1,5,141.0,109.0,109.0,32.0
128,128,1,21,20,0,1,5,107.0,90.0,90.0,17.0
129,129,1,21,30,0,1,5,85.0,67.0,67.0,18.0
130,130,1,21,40,0,1,5,155.0,125.0,125.0,30.0
131,131,1,21,50,0,1,5,84.0,71.0,71.0,13.0
132,132,1,22,0,0,1,5,109.0,100.0,100.0,9.0
133,133,1,22,10,0,1,5,43.0,42.0,42.0,1.0
134,134,1,22,20,0,1,5,70.0,69.0,69.0,1.0
135,135,1,22,30,0,1,5,82.0,82.0,82.0,0.0
136,136,1,22,40,0,1,5,51.0,50.0,50.0,1.0
137,137,1,22,50,0,1,5,21.0,21.0,21.0,0.0
174,174,2,5,0,0,1,5,0.0,0.0,0.0,0.0
175,175,2,5,10,0,1,5,1.0,0.0,0.0,1.0
176,176,2,5,20,0,1,5,15.0,2.0,2.0,13.0
177,177,2,5,30,0,1,5,39.0,0.0,0.0,39.0
178,178,2,5,40,0,1,5,23.0,3.0,3.0,20.0
179,179,2,5,50,0,1,5,39.0,4.0,4.0,35.0
180,180,2,6,0,0,1,5,41.0,6.0,6.0,35.0
181,181,2,6,10,0,1,5,50.0,7.0,7.0,43.0
182,182,2,6,20,0,1,5,42.0,11.0,11.0,31.0
183,183,2,6,30,0,1,5,64.0,21.0,21.0,43.0
184,184,2,6,40,0,1,5,77.0,11.0,11.0,66.0
185,185,2,6,50,0,1,5,68.0,7.0,7.0,61.0
186,186,2,7,0,0,1,5,65.0,15.0,15.0,50.0
187,187,2,7,10,0,1,5,62.0,7.0,7.0,55.0
188,188,2,7,20,0,1,5,72.0,18.0,18.0,54.0
189,189,2,7,30,0,1,5,83.0,19.0,19.0,64.0
190,190,2,7,40,0,1,5,80.0,18.0,18.0,62.0
191,191,2,7,50,0,1,5,78.0,12.0,12.0,66.0
192,192,2,8,0,0,1,5,97.0,20.0,20.0,77.0
193,193,2,8,10,0,1,5,92.0,34.0,34.0,58.0
194,194,2,8,20,0,1,5,103.0,43.0,43.0,60.0
195,195,2,8,30,0,1,5,95.0,37.0,37.0,58.0
196,196,2,8,40,0,1,5,133.0,45.0,45.0,88.0
197,197,2,8,50,0,1,5,133.0,52.0,52.0,81.0
198,198,2,9,0,0,1,5,135.0,71.0,71.0,64.0
199,199,2,9,10,0,1,5,167.0,85.0,85.0,82.0
200,200,2,9,20,0,1,5,113.0,37.0,37.0,76.0
201,201,2,9,30,0,1,5,134.0,63.0,63.0,71.0
202,202,2,9,40,0,1,5,140.0,59.0,59.0,81.0
203,203,2,9,50,0,1,5,131.0,51.0,51.0,80.0
204,204,2,10,0,0,1,5,120.0,63.0,63.0,57.0
205,205,2,10,10,0,1,5,116.0,48.0,48.0,68.0
206,206,2,10,20,0,1,5,113.0,60.0,60.0,53.0
207,207,2,10,30,0,1,5,96.0,36.0,36.0,60.0
208,208,2,10,40,0,1,5,123.0,68.0,68.0,55.0
209,209,2,10,50,0,1,5,122.0,66.0,66.0,56.0
210,210,2,11,0,0,1,5,104.0,52.0,52.0,52.0
211,211,2,11,10,0,1,5,128.0,70.0,70.0,58.0
212,212,2,11,20,0,1,5,108.0,49.0,49.0,59.0
213,213,2,11,30,0,1,5,130.0,48.0,48.0,82.0
214,214,2,11,40,0,1,5,153.0,66.0,66.0,87.0
215,215,2,11,50,0,1,5,136.0,55.0,55.0,81.0
216,216,2,12,0,0,1,5,131.0,55.0,55.0,76.0
217,217,2,12,10,0,1,5,113.0,39.0,39.0,74.0
218,218,2,12,20,0,1,5,91.0,46.0,46.0,45.0
219,219,2,12,30,0,1,5,129.0,51.0,51.0,78.0
220,220,2,12,40,0,1,5,128.0,43.0,43.0,85.0
221,221,2,12,50,0,1,5,155.0,75.0,75.0,80.0
222,222,2,13,0,0,1,5,132.0,55.0,55.0,77.0
223,223,2,13,10,0,1,5,164.0,81.0,81.0,83.0
224,224,2,13,20,0,1,5,156.0,60.0,60.0,96.0
225,225,2,13,30,0,1,5,183.0,82.0,82.0,101.0
226,226,2,13,40,0,1,5,130.0,47.0,47.0,83.0
227,227,2,13,50,0,1,5,159.0,81.0,81.0,78.0
228,228,2,14,0,0,1,5,139.0,60.0,60.0,79.0
229,229,2,14,10,0,1,5,148.0,48.0,48.0,100.0
230,230,2,14,20,0,1,5,126.0,62.0,62.0,64.0
231,231,2,14,30,0,1,5,146.0,64.0,64.0,82.0
232,232,2,14,40,0,1,5,122.0,61.0,61.0,61.0
233,233,2,14,50,0,1,5,153.0,89.0,89.0,64.0
234,234,2,15,0,0,1,5,140.0,62.0,62.0,78.0
235,235,2,15,10,0,1,5,108.0,53.0,53.0,55.0
236,236,2,15,20,0,1,5,152.0,79.0,79.0,73.0
237,237,2,15,30,0,1,5,145.0,79.0,79.0,66.0
238,238,2,15,40,0,1,5,143.0,73.0,73.0,70.0
239,239,2,15,50,0,1,5,102.0,57.0,57.0,45.0
240,240,2,16,0,0,1,5,134.0,78.0,78.0,56.0
241,241,2,16,10,0,1,5,141.0,76.0,76.0,65.0
242,242,2,16,20,0,1,5,113.0,51.0,51.0,62.0
243,243,2,16,30,0,1,5,169.0,80.0,80.0,89.0
244,244,2,16,40,0,1,5,158.0,90.0,90.0,68.0
245,245,2,16,50,0,1,5,151.0,74.0,74.0,77.0
246,246,2,17,0,0,1,5,169.0,84.0,84.0,85.0
247,247,2,17,10,0,1,5,139.0,73.0,73.0,66.0
248,248,2,17,20,0,1,5,129.0,69.0,69.0,60.0
249,249,2,17,30,0,1,5,107.0,66.0,66.0,41.0
250,250,2,17,40,0,1,5,120.0,74.0,74.0,46.0
251,251,2,17,50,0,1,5,113.0,63.0,63.0,50.0
252,252,2,18,0,0,1,5,138.0,67.0,67.0,71.0
253,253,2,18,10,0,1,5,131.0,67.0,67.0,64.0
254,254,2,18,20,0,1,5,92.0,50.0,50.0,42.0
255,255,2,18,30,0,1,5,118.0,71.0,71.0,47.0
256,256,2,18,40,0,1,5,126.0,71.0,71.0,55.0
257,257,2,18,50,0,1,5,94.0,58.0,58.0,36.0
