,Unnamed: 0,stationid,startTime,inNums,outNums,flow
0,0,1,2022/4/15 5:00:00,0,1,-1
1,1,1,2022/4/15 5:10:00,2,1,1
2,2,1,2022/4/15 5:20:00,9,1,8
3,3,1,2022/4/15 5:30:00,15,1,14
4,4,1,2022/4/15 5:40:00,20,1,19
5,5,1,2022/4/15 5:50:00,17,1,16
6,6,1,2022/4/15 6:00:00,25,1,24
7,7,1,2022/4/15 6:10:00,31,13,18
8,8,1,2022/4/15 6:20:00,45,17,28
9,9,1,2022/4/15 6:30:00,57,21,36
10,10,1,2022/4/15 6:40:00,69,32,37
11,11,1,2022/4/15 6:50:00,105,50,55
12,12,1,2022/4/15 7:00:00,181,67,114
13,13,1,2022/4/15 7:10:00,215,73,142
14,14,1,2022/4/15 7:20:00,252,75,177
15,15,1,2022/4/15 7:30:00,323,97,226
16,16,1,2022/4/15 7:40:00,590,106,484
17,17,1,2022/4/15 7:50:00,639,110,529
18,18,1,2022/4/15 8:00:00,723,123,600
19,19,1,2022/4/15 8:10:00,687,226,461
20,20,1,2022/4/15 8:20:00,653,171,482
21,21,1,2022/4/15 8:30:00,573,234,339
22,22,1,2022/4/15 8:40:00,358,222,136
23,23,1,2022/4/15 8:50:00,278,180,98
24,24,1,2022/4/15 9:00:00,232,152,80
25,25,1,2022/4/15 9:10:00,174,121,53
26,26,1,2022/4/15 9:20:00,106,123,-17
27,27,1,2022/4/15 9:30:00,68,107,-39
28,28,1,2022/4/15 9:40:00,55,108,-53
29,29,1,2022/4/15 9:50:00,50,97,-47
30,30,1,2022/4/15 10:00:00,44,76,-32
31,31,1,2022/4/15 10:10:00,42,81,-39
32,32,1,2022/4/15 10:20:00,36,77,-41
33,33,1,2022/4/15 10:30:00,31,72,-41
34,34,1,2022/4/15 10:40:00,32,75,-43
35,35,1,2022/4/15 10:50:00,35,72,-37
36,36,1,2022/4/15 11:00:00,33,65,-32
37,37,1,2022/4/15 11:10:00,26,66,-40
38,38,1,2022/4/15 11:20:00,36,61,-25
39,39,1,2022/4/15 11:30:00,33,82,-49
40,40,1,2022/4/15 11:40:00,36,70,-34
41,41,1,2022/4/15 11:50:00,35,76,-41
42,42,1,2022/4/15 12:00:00,39,75,-36
43,43,1,2022/4/15 12:10:00,41,77,-36
44,44,1,2022/4/15 12:20:00,45,70,-25
45,45,1,2022/4/15 12:30:00,43,84,-41
46,46,1,2022/4/15 12:40:00,43,81,-38
47,47,1,2022/4/15 12:50:00,44,75,-31
48,48,1,2022/4/15 13:00:00,38,92,-54
49,49,1,2022/4/15 13:10:00,38,76,-38
50,50,1,2022/4/15 13:20:00,34,91,-57
51,51,1,2022/4/15 13:30:00,37,76,-39
52,52,1,2022/4/15 13:40:00,34,77,-43
53,53,1,2022/4/15 13:50:00,36,76,-40
54,54,1,2022/4/15 14:00:00,30,74,-44
55,55,1,2022/4/15 14:10:00,35,77,-42
56,56,1,2022/4/15 14:20:00,31,84,-53
57,57,1,2022/4/15 14:30:00,30,76,-46
58,58,1,2022/4/15 14:40:00,28,76,-48
59,59,1,2022/4/15 14:50:00,27,81,-54
60,60,1,2022/4/15 15:00:00,34,91,-57
61,61,1,2022/4/15 15:10:00,39,76,-37
62,62,1,2022/4/15 15:20:00,40,92,-52
63,63,1,2022/4/15 15:30:00,42,87,-45
64,64,1,2022/4/15 15:40:00,39,96,-57
65,65,1,2022/4/15 15:50:00,36,97,-61
66,66,1,2022/4/15 16:00:00,45,97,-52
67,67,1,2022/4/15 16:10:00,53,109,-56
68,68,1,2022/4/15 16:20:00,56,103,-47
69,69,1,2022/4/15 16:30:00,52,102,-50
70,70,1,2022/4/15 16:40:00,73,110,-37
71,71,1,2022/4/15 16:50:00,68,111,-43
72,72,1,2022/4/15 17:00:00,125,103,22
73,73,1,2022/4/15 17:10:00,208,110,98
74,74,1,2022/4/15 17:20:00,174,151,23
75,75,1,2022/4/15 17:30:00,163,191,-28
76,76,1,2022/4/15 17:40:00,221,233,-12
77,77,1,2022/4/15 17:50:00,183,217,-34
78,78,1,2022/4/15 18:00:00,149,300,-151
79,79,1,2022/4/15 18:10:00,203,327,-124
80,80,1,2022/4/15 18:20:00,163,334,-171
81,81,1,2022/4/15 18:30:00,74,319,-245
82,82,1,2022/4/15 18:40:00,56,301,-245
83,83,1,2022/4/15 18:50:00,46,256,-210
84,84,1,2022/4/15 19:00:00,43,197,-154
85,85,1,2022/4/15 19:10:00,40,147,-107
86,86,1,2022/4/15 19:20:00,40,144,-104
87,87,1,2022/4/15 19:30:00,37,110,-73
88,88,1,2022/4/15 19:40:00,35,125,-90
89,89,1,2022/4/15 19:50:00,28,125,-97
90,90,1,2022/4/15 20:00:00,33,105,-72
91,91,1,2022/4/15 20:10:00,38,108,-70
92,92,1,2022/4/15 20:20:00,41,81,-40
93,93,1,2022/4/15 20:30:00,40,122,-82
94,94,1,2022/4/15 20:40:00,44,83,-39
95,95,1,2022/4/15 20:50:00,32,107,-75
96,96,1,2022/4/15 21:00:00,28,78,-50
97,97,1,2022/4/15 21:10:00,27,127,-100
98,98,1,2022/4/15 21:20:00,25,108,-83
99,99,1,2022/4/15 21:30:00,29,99,-70
100,100,1,2022/4/15 21:40:00,25,102,-77
101,101,1,2022/4/15 21:50:00,23,78,-55
102,102,1,2022/4/15 22:00:00,15,106,-91
103,103,1,2022/4/15 22:10:00,2,73,-71
104,104,1,2022/4/15 22:20:00,0,108,-108
105,105,1,2022/4/15 22:30:00,0,79,-79
106,106,1,2022/4/15 22:40:00,1,75,-74
107,107,1,2022/4/15 22:50:00,0,34,-34
108,108,2,2022/4/15 5:00:00,0,1,-1
109,109,2,2022/4/15 5:10:00,1,1,0
110,110,2,2022/4/15 5:20:00,3,1,2
111,111,2,2022/4/15 5:30:00,8,1,7
112,112,2,2022/4/15 5:40:00,18,1,17
113,113,2,2022/4/15 5:50:00,21,6,15
114,114,2,2022/4/15 6:00:00,23,21,2
115,115,2,2022/4/15 6:10:00,30,21,9
116,116,2,2022/4/15 6:20:00,33,23,10
117,117,2,2022/4/15 6:30:00,41,38,3
118,118,2,2022/4/15 6:40:00,44,33,11
119,119,2,2022/4/15 6:50:00,63,52,11
120,120,2,2022/4/15 7:00:00,76,67,9
121,121,2,2022/4/15 7:10:00,91,68,23
122,122,2,2022/4/15 7:20:00,101,75,26
123,123,2,2022/4/15 7:30:00,162,105,57
124,124,2,2022/4/15 7:40:00,226,122,104
125,125,2,2022/4/15 7:50:00,274,185,89
126,126,2,2022/4/15 8:00:00,300,281,19
127,127,2,2022/4/15 8:10:00,318,507,-189
128,128,2,2022/4/15 8:20:00,337,535,-198
129,129,2,2022/4/15 8:30:00,303,434,-131
130,130,2,2022/4/15 8:40:00,269,1126,-857
131,131,2,2022/4/15 8:50:00,224,429,-205
132,132,2,2022/4/15 9:00:00,182,317,-135
133,133,2,2022/4/15 9:10:00,145,217,-72
134,134,2,2022/4/15 9:20:00,83,181,-98
135,135,2,2022/4/15 9:30:00,65,133,-68
136,136,2,2022/4/15 9:40:00,51,121,-70
137,137,2,2022/4/15 9:50:00,48,109,-61
138,138,2,2022/4/15 10:00:00,45,105,-60
139,139,2,2022/4/15 10:10:00,44,98,-54
140,140,2,2022/4/15 10:20:00,42,90,-48
141,141,2,2022/4/15 10:30:00,37,90,-53
142,142,2,2022/4/15 10:40:00,36,93,-57
143,143,2,2022/4/15 10:50:00,36,76,-40
144,144,2,2022/4/15 11:00:00,37,70,-33
145,145,2,2022/4/15 11:10:00,36,85,-49
146,146,2,2022/4/15 11:20:00,37,81,-44
147,147,2,2022/4/15 11:30:00,38,74,-36
148,148,2,2022/4/15 11:40:00,34,76,-42
149,149,2,2022/4/15 11:50:00,34,70,-36
150,150,2,2022/4/15 12:00:00,38,76,-38
151,151,2,2022/4/15 12:10:00,45,69,-24
152,152,2,2022/4/15 12:20:00,44,76,-32
153,153,2,2022/4/15 12:30:00,41,73,-32
154,154,2,2022/4/15 12:40:00,46,76,-30
155,155,2,2022/4/15 12:50:00,41,90,-49
156,156,2,2022/4/15 13:00:00,41,73,-32
157,157,2,2022/4/15 13:10:00,38,104,-66
158,158,2,2022/4/15 13:20:00,41,76,-35
159,159,2,2022/4/15 13:30:00,38,93,-55
160,160,2,2022/4/15 13:40:00,44,82,-38
161,161,2,2022/4/15 13:50:00,41,87,-46
162,162,2,2022/4/15 14:00:00,41,93,-52
163,163,2,2022/4/15 14:10:00,44,82,-38
164,164,2,2022/4/15 14:20:00,36,94,-58
165,165,2,2022/4/15 14:30:00,35,81,-46
166,166,2,2022/4/15 14:40:00,40,79,-39
167,167,2,2022/4/15 14:50:00,37,79,-42
168,168,2,2022/4/15 15:00:00,43,77,-34
169,169,2,2022/4/15 15:10:00,41,93,-52
170,170,2,2022/4/15 15:20:00,42,83,-41
171,171,2,2022/4/15 15:30:00,45,105,-60
172,172,2,2022/4/15 15:40:00,43,87,-44
173,173,2,2022/4/15 15:50:00,46,104,-58
174,174,2,2022/4/15 16:00:00,50,92,-42
175,175,2,2022/4/15 16:10:00,53,97,-44
176,176,2,2022/4/15 16:20:00,47,100,-53
177,177,2,2022/4/15 16:30:00,68,99,-31
178,178,2,2022/4/15 16:40:00,94,112,-18
179,179,2,2022/4/15 16:50:00,85,105,-20
180,180,2,2022/4/15 17:00:00,277,108,169
181,181,2,2022/4/15 17:10:00,310,125,185
182,182,2,2022/4/15 17:20:00,275,110,165
183,183,2,2022/4/15 17:30:00,327,108,219
184,184,2,2022/4/15 17:40:00,710,142,568
185,185,2,2022/4/15 17:50:00,462,181,281
186,186,2,2022/4/15 18:00:00,326,184,142
187,187,2,2022/4/15 18:10:00,577,192,385
188,188,2,2022/4/15 18:20:00,272,159,113
189,189,2,2022/4/15 18:30:00,205,185,20
190,190,2,2022/4/15 18:40:00,176,152,24
191,191,2,2022/4/15 18:50:00,89,117,-28
192,192,2,2022/4/15 19:00:00,76,110,-34
193,193,2,2022/4/15 19:10:00,65,124,-59
194,194,2,2022/4/15 19:20:00,52,103,-51
195,195,2,2022/4/15 19:30:00,45,111,-66
196,196,2,2022/4/15 19:40:00,39,105,-66
197,197,2,2022/4/15 19:50:00,40,95,-55
198,198,2,2022/4/15 20:00:00,39,82,-43
199,199,2,2022/4/15 20:10:00,40,95,-55
200,200,2,2022/4/15 20:20:00,36,93,-57
201,201,2,2022/4/15 20:30:00,32,79,-47
202,202,2,2022/4/15 20:40:00,37,92,-55
203,203,2,2022/4/15 20:50:00,36,78,-42
204,204,2,2022/4/15 21:00:00,30,77,-47
205,205,2,2022/4/15 21:10:00,29,82,-53
206,206,2,2022/4/15 21:20:00,30,97,-67
207,207,2,2022/4/15 21:30:00,29,76,-47
208,208,2,2022/4/15 21:40:00,26,80,-54
209,209,2,2022/4/15 21:50:00,28,79,-51
210,210,2,2022/4/15 22:00:00,23,86,-63
211,211,2,2022/4/15 22:10:00,28,79,-51
212,212,2,2022/4/15 22:20:00,15,78,-63
213,213,2,2022/4/15 22:30:00,11,77,-66
214,214,2,2022/4/15 22:40:00,5,52,-47
215,215,2,2022/4/15 22:50:00,0,3,-3
216,216,3,2022/4/15 5:00:00,0,1,-1
217,217,3,2022/4/15 5:10:00,4,1,3
218,218,3,2022/4/15 5:20:00,13,1,12
219,219,3,2022/4/15 5:30:00,9,1,8
220,220,3,2022/4/15 5:40:00,16,1,15
221,221,3,2022/4/15 5:50:00,23,1,22
222,222,3,2022/4/15 6:00:00,27,1,26
223,223,3,2022/4/15 6:10:00,31,1,30
224,224,3,2022/4/15 6:20:00,47,19,28
225,225,3,2022/4/15 6:30:00,57,16,41
226,226,3,2022/4/15 6:40:00,68,23,45
227,227,3,2022/4/15 6:50:00,88,23,65
228,228,3,2022/4/15 7:00:00,144,11,133
229,229,3,2022/4/15 7:10:00,222,25,197
230,230,3,2022/4/15 7:20:00,274,40,234
231,231,3,2022/4/15 7:30:00,325,50,275
232,232,3,2022/4/15 7:40:00,593,38,555
233,233,3,2022/4/15 7:50:00,684,49,635
234,234,3,2022/4/15 8:00:00,699,54,645
235,235,3,2022/4/15 8:10:00,707,61,646
236,236,3,2022/4/15 8:20:00,629,62,567
237,237,3,2022/4/15 8:30:00,367,72,295
238,238,3,2022/4/15 8:40:00,282,71,211
239,239,3,2022/4/15 8:50:00,234,62,172
240,240,3,2022/4/15 9:00:00,169,64,105
241,241,3,2022/4/15 9:10:00,116,46,70
242,242,3,2022/4/15 9:20:00,65,52,13
243,243,3,2022/4/15 9:30:00,49,42,7
244,244,3,2022/4/15 9:40:00,41,51,-10
245,245,3,2022/4/15 9:50:00,40,47,-7
246,246,3,2022/4/15 10:00:00,33,49,-16
247,247,3,2022/4/15 10:10:00,34,42,-8
248,248,3,2022/4/15 10:20:00,30,48,-18
249,249,3,2022/4/15 10:30:00,25,50,-25
250,250,3,2022/4/15 10:40:00,28,47,-19
251,251,3,2022/4/15 10:50:00,26,48,-22
252,252,3,2022/4/15 11:00:00,26,50,-24
253,253,3,2022/4/15 11:10:00,25,50,-25
254,254,3,2022/4/15 11:20:00,26,51,-25
255,255,3,2022/4/15 11:30:00,25,49,-24
256,256,3,2022/4/15 11:40:00,25,51,-26
