stationid,startTime,value,value0-10
125,2022/7/15 17:40,5.785403226,10
143,2022/7/15 17:40,5.772096774,9.991493135
123,2022/7/15 17:40,5.763870968,9.986234346
129,2022/7/15 17:40,5.727096774,9.962724465
122,2022/7/15 17:40,5.710887097,9.952361557
133,2022/7/15 17:40,5.695887097,9.942772001
126,2022/7/15 17:40,5.687419355,9.937358541
146,2022/7/15 17:40,5.687177419,9.937203871
139,2022/7/15 17:40,5.680403226,9.932873103
125,2022/7/15 18:10,5.539354839,9.842700337
143,2022/7/15 18:10,5.430483871,9.773098716
123,2022/7/15 18:10,5.423467742,9.768613278
129,2022/7/15 18:10,5.365403226,9.731492413
122,2022/7/15 18:10,5.292580645,9.684936662
133,2022/7/15 18:10,5.278306452,9.675811117
146,2022/7/15 18:10,5.265967742,9.667922933
126,2022/7/15 18:10,5.26233871,9.665602879
139,2022/7/15 18:10,5.247580645,9.656167992
125,2022/7/15 17:10,5.016774194,9.508612556
143,2022/7/15 17:10,5.006129032,9.501807064
123,2022/7/15 17:10,4.999677419,9.497682523
129,2022/7/15 17:10,4.980645161,9.485515129
122,2022/7/15 17:10,4.949677419,9.465717335
133,2022/7/15 17:10,4.932903226,9.45499353
126,2022/7/15 17:10,4.930322581,9.453343714
146,2022/7/15 17:10,4.926774194,9.451075216
139,2022/7/15 17:10,4.922258065,9.448188038
8,2022/7/15 17:40,4.679032258,9.292692861
27,2022/7/15 17:40,4.65483871,9.277225834
125,2022/7/15 18:20,4.620967742,9.255571996
3,2022/7/15 17:40,4.611827957,9.249728897
143,2022/7/15 18:20,4.571612903,9.224019261
123,2022/7/15 18:20,4.556370968,9.214275035
129,2022/7/15 18:20,4.514516129,9.187517078
122,2022/7/15 18:20,4.431774194,9.134619846
133,2022/7/15 18:20,4.411935484,9.121936884
146,2022/7/15 18:20,4.404193548,9.116987435
126,2022/7/15 18:20,4.400806452,9.114822052
139,2022/7/15 18:20,4.388951613,9.107243209
8,2022/7/15 18:10,4.370967742,9.095746052
27,2022/7/15 18:10,4.340860215,9.076498196
125,2022/7/15 17:50,4.273790323,9.033620161
3,2022/7/15 18:10,4.260752688,9.025285152
143,2022/7/15 17:50,4.232419355,9.007171545
123,2022/7/15 17:50,4.226854839,9.003614129
129,2022/7/15 17:50,4.186209677,8.977629523
122,2022/7/15 17:50,4.117983871,8.934012508
133,2022/7/15 17:50,4.10516129,8.925814983
146,2022/7/15 17:50,4.095725806,8.919782843
126,2022/7/15 17:50,4.095483871,8.919628173
139,2022/7/15 17:50,4.081209677,8.910502626
125,2022/7/15 17:20,4.056451613,8.894674703
143,2022/7/15 17:20,4.021612903,8.872402184
123,2022/7/15 17:20,4.018387097,8.870339914
129,2022/7/15 17:20,3.977741935,8.844355308
122,2022/7/15 17:20,3.957419355,8.831363006
133,2022/7/15 17:20,3.941290323,8.821051655
126,2022/7/15 17:20,3.933870968,8.816308433
146,2022/7/15 17:20,3.932258065,8.815277298
139,2022/7/15 17:20,3.917096774,8.805584628
34,2022/7/15 7:20,3.756774194,8.703089797
166,2022/7/15 7:20,3.748602941,8.697865884
159,2022/7/15 7:20,3.684779412,8.65706326
33,2022/7/15 7:20,3.639354839,8.628023159
58,2022/7/15 7:20,3.62,8.615649538
172,2022/7/15 7:20,3.579779412,8.589936364
168,2022/7/15 7:20,3.545808824,8.568218839
150,2022/7/15 7:20,3.501029412,8.539591191
28,2022/7/15 7:20,3.493548387,8.534808544
35,2022/7/15 7:20,3.482580645,8.527796825
143,2022/7/15 17:30,3.472983871,8.521661571
123,2022/7/15 17:30,3.464758065,8.516402782
125,2022/7/15 17:30,3.462096774,8.514701409
129,2022/7/15 17:30,3.446612903,8.504802512
165,2022/7/15 7:20,3.436691176,8.498459514
50,2022/7/15 7:20,3.416774194,8.485726512
122,2022/7/15 17:30,3.391935484,8.469847031
126,2022/7/15 17:30,3.381532258,8.463196209
133,2022/7/15 17:30,3.380080645,8.462268188
146,2022/7/15 17:30,3.37766129,8.460721485
173,2022/7/15 7:20,3.370808824,8.456340678
139,2022/7/15 17:30,3.366774194,8.453761323
167,2022/7/15 7:20,3.366176471,8.453379197
174,2022/7/15 7:20,3.306470588,8.415209
34,2022/7/15 7:50,3.297701613,8.409602961
33,2022/7/15 7:50,3.278104839,8.39707467
112,2022/7/15 7:20,3.275806452,8.395605302
58,2022/7/15 7:50,3.271572581,8.392898572
35,2022/7/15 7:50,3.244717742,8.375730172
34,2022/7/15 7:40,3.234556452,8.369234021
36,2022/7/15 7:50,3.225483871,8.363433886
28,2022/7/15 7:50,3.222580645,8.361577843
125,2022/7/15 18:00,3.220645161,8.360340481
106,2022/7/15 7:20,3.212903226,8.355391032
116,2022/7/15 7:20,3.204919355,8.350286913
50,2022/7/15 7:50,3.193548387,8.343017411
33,2022/7/15 7:40,3.189556452,8.340465351
29,2022/7/15 7:50,3.186290323,8.338377303
58,2022/7/15 7:40,3.185927419,8.338145297
143,2022/7/15 18:00,3.181693548,8.335438567
123,2022/7/15 18:00,3.172741935,8.329715767
129,2022/7/15 18:00,3.135241935,8.305741876
35,2022/7/15 7:40,3.132943548,8.304272508
28,2022/7/15 7:40,3.130040323,8.302416465
36,2022/7/15 7:20,3.11483871,8.292698017
301,2022/7/15 17:40,3.11125,8.290403741
50,2022/7/15 7:40,3.092298387,8.278287903
122,2022/7/15 18:00,3.09,8.276818536
51,2022/7/15 7:50,3.087217742,8.275039828
31,2022/7/15 7:50,3.080322581,8.270631725
133,2022/7/15 18:00,3.07016129,8.264135573
248,2022/7/15 7:20,3.065806452,8.261351509
146,2022/7/15 18:00,3.063870968,8.260114147
126,2022/7/15 18:00,3.06,8.257639422
139,2022/7/15 18:00,3.052741935,8.252999314
303,2022/7/15 17:40,3.045362903,8.248281871
306,2022/7/15 17:40,3.037446237,8.243220716
305,2022/7/15 17:40,3.002204301,8.220690414
34,2022/7/15 8:00,3.001209677,8.220054547
29,2022/7/15 7:20,2.998709677,8.218456287
304,2022/7/15 17:40,2.990712366,8.213343576
313,2022/7/15 17:40,2.98969086,8.212690523
58,2022/7/15 8:00,2.979072581,8.205902218
35,2022/7/15 8:00,2.977258065,8.204742191
33,2022/7/15 8:00,2.972903226,8.201958126
193,2022/7/15 17:40,2.972794118,8.201888372
28,2022/7/15 8:00,2.943508065,8.183165688
36,2022/7/15 7:40,2.932983871,8.176437531
50,2022/7/15 8:00,2.908669355,8.160893169
171,2022/7/15 7:20,2.906544118,8.159534497
247,2022/7/15 7:20,2.904354839,8.158134883
36,2022/7/15 8:00,2.878185484,8.141404715
125,2022/7/15 17:00,2.876774194,8.140502472
238,2022/7/15 17:10,2.871236559,8.136962241
8,2022/7/15 17:10,2.870967742,8.136790386
27,2022/7/15 17:10,2.860215054,8.129916152
29,2022/7/15 7:40,2.857862903,8.128412413
143,2022/7/15 17:00,2.849354839,8.122973175
251,2022/7/15 17:10,2.847580645,8.121838926
123,2022/7/15 17:00,2.846451613,8.121117132
51,2022/7/15 7:20,2.841290323,8.1178175
29,2022/7/15 8:00,2.835725806,8.114260083
244,2022/7/15 17:10,2.823333333,8.106337528
31,2022/7/15 7:20,2.822580645,8.105856332
129,2022/7/15 17:00,2.819677419,8.104000288
3,2022/7/15 17:10,2.816129032,8.101731791
4,2022/7/15 17:40,2.810322581,8.098019705
122,2022/7/15 17:00,2.808064516,8.096576116
250,2022/7/15 7:20,2.797311828,8.089701882
133,2022/7/15 17:00,2.792903226,8.086883446
126,2022/7/15 17:00,2.789032258,8.084408721
250,2022/7/15 17:10,2.787849462,8.083652555
146,2022/7/15 17:00,2.786129032,8.082552678
139,2022/7/15 17:00,2.772580645,8.073891143
13,2022/7/15 17:40,2.770967742,8.072860008
281,2022/7/15 7:20,2.770506912,8.072565397
51,2022/7/15 7:40,2.760604839,8.066234965
34,2022/7/15 7:10,2.76,8.065848289
247,2022/7/15 17:10,2.757096774,8.063992246
51,2022/7/15 8:00,2.754798387,8.062522878
131,2022/7/15 17:40,2.74983871,8.059352138
31,2022/7/15 7:40,2.74608871,8.056954749
244,2022/7/15 7:20,2.744677419,8.056052505
31,2022/7/15 8:00,2.742822581,8.0548667
248,2022/7/15 17:10,2.723387097,8.042441522
189,2022/7/15 17:40,2.71495098,8.03704828
193,2022/7/15 18:10,2.694117647,8.023729452
131,2022/7/15 18:10,2.673508065,8.010553668
166,2022/7/15 7:10,2.651764706,7.996653057
8,2022/7/15 17:50,2.625268817,7.979714135
33,2022/7/15 7:10,2.617419355,7.974695944
4,2022/7/15 18:10,2.607741935,7.968509133
13,2022/7/15 18:10,2.607419355,7.968302906
27,2022/7/15 17:50,2.597849462,7.962184837
8,2022/7/15 17:30,2.587096774,7.955310603
166,2022/7/15 7:50,2.584313725,7.95353139
58,2022/7/15 7:10,2.583870968,7.953248333
188,2022/7/15 17:40,2.579166667,7.950240856
238,2022/7/15 7:20,2.570215054,7.944518056
114,2022/7/15 7:20,2.569354839,7.943968117
27,2022/7/15 17:30,2.558064516,7.936750171
159,2022/7/15 7:10,2.552941176,7.933474801
112,2022/7/15 7:10,2.551209677,7.932367847
159,2022/7/15 7:50,2.541176471,7.92595358
3,2022/7/15 17:50,2.516129032,7.909940658
158,2022/7/15 7:20,2.512279412,7.907479581
3,2022/7/15 17:30,2.511827957,7.907190964
106,2022/7/15 7:10,2.505967742,7.903444507
172,2022/7/15 7:50,2.499346405,7.899211461
116,2022/7/15 7:10,2.497016129,7.897721707
28,2022/7/15 7:10,2.496774194,7.897567037
180,2022/7/15 17:40,2.488480392,7.892264778
172,2022/7/15 7:10,2.487058824,7.891355964
168,2022/7/15 7:50,2.48,7.886843231
35,2022/7/15 7:10,2.476129032,7.884368507
193,2022/7/15 17:10,2.473676471,7.882800575
150,2022/7/15 7:50,2.471111111,7.881160531
179,2022/7/15 17:40,2.467401961,7.878789257
147,2022/7/15 17:40,2.46641129,7.878155918
168,2022/7/15 7:10,2.457205882,7.872270865
165,2022/7/15 7:50,2.454901961,7.87079796
50,2022/7/15 7:10,2.441935484,7.862508442
104,2022/7/15 7:20,2.44016129,7.861374193
184,2022/7/15 17:40,2.439705882,7.861083049
131,2022/7/15 17:10,2.438387097,7.860239945
295,2022/7/15 17:10,2.427688172,7.853400082
173,2022/7/15 7:50,2.423267974,7.850574233
167,2022/7/15 7:50,2.420130719,7.848568574
150,2022/7/15 7:10,2.415,7.845288486
